,task,,,,,parameters,return,
1,client: registeration,client registeration,/clients,POST,,"name, email, password",client id,
2,therapist: registeration,therapist registeration,/therapists,POST,,"name, email, password",therapist id,
3,client: login,client login,/auth/client,POST,,"email, password",token,
4,therapist: login,therapist login,/auth/therapist,POST,,"email, password",token,
5,client: request a therapist,client searches for therapists,/therapists,GET,,,"array(therapist id, name, email)",
6,,client requests a therapist for mapping,/client/requests,POST,client id,therapist id,request id,
7,,therapist can see client requests,/therapist/client-requests,GET,therapist id,,"array(request id, client id, name, status)","status: pending, approved, disapproved"
8,,therapist can accept or reject request,/therapist/client-requests,PATCH,therapist id,"request id, approval",,gets added to therapist/clients
9,,client can see requests status,/client/requests,GET,client id,,"array(request id, therapist id, th name, status)",
10,,optional: client can delete a request,/client/requests,DELETE,client id,request id,,
11,therapist: request a client,therapist searches for clients,/clients,GET,,,"array(client id, name)",
12,,therapist requests a client for mapping,/therapist/requests,POST,therapist id,client id,request id,
13,,client can see therapist requests,/client/therapist-requests,GET,client id,,"array(request id, therapist id, name, status)",
14,,client can accept or reject request,/client/therapist-requests,PATCH,client id,"request id, approval",,gets added to therapist/clients
15,,therapist can see requests status,/therapist/requests,GET,therapist id,,"array(request id, client id, name, status)",
16,,optional: client can delete a request,/therapist/requests,DELETE,therapist id,request id,,
17,client: therapist management,client can view mapped therapists,/client/therapists,GET,client id,,"array(th id, th name, access)","access = YES, NO"
18,,client can toggle journal access,/client/therapists,PATCH,client id,"th id, access",,
19,,client can remove a therapist,/client/therapists,DELETE,,,,
20,therapist: client management,therapist can view mapped clients,/therapist/clients,GET,therapist id,,"array(cl id, cl name, journal access)",
21,,therapist can remove a client,/therapist/clients,DELETE,therapist id,,,
22,therapist: journal acess request,therapist request client access for a journal,/therapist/journal-requests,POST,therapist id,client id,request id,only his clients and access = NO
23,,client can see therapist journal requests,/client/therapist/journal-requests,GET,client id,,"array(request id, therapist id, name, status)",
24,,client can accept or reject journal request,/client/therapist/journal-requests,PATCH,client id,"request id, approval",,
25,,therapist can see journal requests status,/therapist/journal-requests,GET,therapist id,,"array(request id, client id, name, status)",
26,journal,client writes entry to a journal,/client/journal,POST,client id,"time, feeling, intensity",,
27,,client can view a past journal entries,/client/journal,GET,client id,,"array(post id, time, feeling, intensity)",
28,,optional: client can delete a entry,/client/journal,DELETE,client id,post id,,
29,,optional: client can edit an entry,/client/journal,PATCH,client id,"post id, time, feeling, intensity",,
30,,therapist can see client journals,/therapist/client/journal,GET,"therapist id, client id",,"array(post id, time, feeling, intensity)",
31,messages,client can message a therapist,clients/messages,POST,client id,"therapist id, message",,
32,,client can view messages,clients/messages,GET,client id,therapist id,,
33,,therapist send client a message,therapists/messages,POST,therapist id,"client id, message",,
34,,therapist can see client messages,clients/messages,GET,therapist id,client id,,
35,sessions,therapist can create a session,therapists/sessions,POST,therapist id,datetime,session id,
36,,client can see therapists sessions,clients/sessions/available,GET,client id,,"array(session id, th name, datetime, status)","status = applied, approved, rejected"
37,,client can request for a session,clients/sessions/requests,POST,client id,sessionid,,
38,,therapist can view created sessions,therapists/sessions,GET,therapist id,,"array(session id, datetime, client)",
39,,therapist can view client requests for a session,therapists/sessions/requests,GET,therapist id,session id,"array(client id, name)",
40,,therapist can approve or reject a request,therapists/sessions/requests,PATCH,therapist id,"session id, client id, approve",,
41,,client can view session request status,clients/sessions/requests,GET,client id,,"array(request id, session id, th name, datetime, status)",
42,,therapist can write a session note,therapist/sessions/notes,POST,"therapist id, session id","note, access",,
43,,therapist can view session notes,therapist/sessions/notes,GET,"therapist id, session id",,"array(note id, note, access)",
44,,therapist can delete a session note,therapist/sessions/notes,DELETE,"therapist id, session id, note id",,-,
45,,therapist can edit a note,therapist/sessions/notes,PATCH,"therapist id, session id, note id","body, access",-,
46,,client can view session notes,client/sessions,GET,"client id, session id",,"array(note id, note)",
47,,client can see past sessions,client/sessions,GET,client id,,"array(session id, THERPIST, datetime)",
48,,therapist can see past sessions,therapist/sessions,GET,"therapist id, session id",,"array(note id, note)",
