task,description,path,method,parameters,returns,notes
client registration,register a new client,/auth/client/register,POST,"name,email,password",clientId,
therapist registration,register a new therapist,/auth/therapist/register,POST,"name,email,password",therapistId,
, , , , , , 
client login,client login,/auth/client/login,POST,"email,password",token,
therapist login,therapist login,/auth/therapist/login,POST,"email,password",token,
logout,logout current user,/auth/logout,POST,,,
, , , , , , 
current user,get logged in user,/me,GET,,user profile,
, , , , , , 
list therapists,search therapists,/therapists,GET,,"array(therapistId,name,email)",
view therapist,get therapist profile,/therapists/{therapistId},GET,,therapist,
update therapist,update therapist profile,/therapists/{therapistId},PATCH,"name,email",,
, , , , , , 
list clients,search clients,/clients,GET,,"array(clientId,name)",
view client,get client profile,/clients/{clientId},GET,,client,
update client,update client profile,/clients/{clientId},PATCH,"name,email",,
, , , , , , 
create relationship request,client or therapist requests connection,/requests,POST,"receiverId,senderType",requestId,
view requests,view my requests,/requests,GET,,array(request),
view request,view single request,/requests/{requestId},GET,,request,
approve/reject request,approve or reject request,/requests/{requestId},PATCH,status,status = approved/rejected,
cancel request,cancel pending request,/requests/{requestId},DELETE,,,
, , , , , , 
view relationships,view connected clients/therapists,/relationships,GET,,array(relationship),
remove relationship,disconnect therapist and client,/relationships/{relationshipId},DELETE,,,
, , , , , , 
request journal access,therapist requests journal access,/journal-access-requests,POST,clientId,requestId,
view journal access requests,view my journal access requests,/journal-access-requests,GET,,array(request),
approve/reject journal access,approve or reject access,/journal-access-requests/{requestId},PATCH,status,,
, , , , , , 
create journal entry,create journal entry,/journal-entries,POST,"time,feeling,intensity",entryId,
view journal entries,view own entries,/journal-entries,GET,,array(entry),
view journal entry,view one entry,/journal-entries/{entryId},GET,,entry,
edit journal entry,edit journal entry,/journal-entries/{entryId},PATCH,"time,feeling,intensity",,
delete journal entry,delete journal entry,/journal-entries/{entryId},DELETE,,,
, , , , , , 
view client journals,therapist views client journals,/clients/{clientId}/journal-entries,GET,,array(entry),requires access
, , , , , , 
send message,send a message,/messages,POST,"receiverId,message",messageId,
view conversations,list conversations,/conversations,GET,,array(conversation),
view messages,view conversation messages,/conversations/{conversationId}/messages,GET,,array(message),
, , , , , , 
create session,therapist creates session,/sessions,POST,datetime,sessionId,
view sessions,view sessions,/sessions,GET,,array(session),
view session,view single session,/sessions/{sessionId},GET,,session,
update session,edit session,/sessions/{sessionId},PATCH,datetime,,
delete session,delete session,/sessions/{sessionId},DELETE,,,
, , , , , , 
request session,client requests session,/session-requests,POST,sessionId,requestId,
view session requests,view session requests,/session-requests,GET,,array(request),
approve/reject session request,approve or reject session request,/session-requests/{requestId},PATCH,status,,
cancel session request,cancel request,/session-requests/{requestId},DELETE,,,
, , , , , , 
create session note,therapist creates note,/sessions/{sessionId}/notes,POST,"note,access",noteId,
view session notes,view notes,/sessions/{sessionId}/notes,GET,,array(note),
edit session note,edit note,/sessions/{sessionId}/notes/{noteId},PATCH,"note,access",,
delete session note,delete note,/sessions/{sessionId}/notes/{noteId},DELETE,,,
, , , , , , 
view shared notes,client views notes shared with him,/sessions/{sessionId}/notes,GET,,array(note),
